seas_id,player_id,tm,pos,age,experience
1,478,DAL,C,24,1
1,89,MIN,PG,33,10
1,302,DEN,PF,27,9
1,397,DAL,SG,23,3
1,336,ORL,PF,26,4
1,75,BOS,C,36,16
1,37,IND,C,33,14
1,168,CHI,PF,30,11
1,56,LAC,SF,34,8
1,392,BRK,PF,26,4
1,185,DET,SG,31,12
1,257,SAC,C,29,10
1,454,ATL,PF,25,3
1,284,MIN,SF,27,7
1,148,DEN,SF,29,8
1,50,PHI,C,31,14
1,220,CHI,C,29,11
1,30,GSW,SF,39,19
1,281,BRK,SG,29,7
1,51,CLE,C,32,12
1,51,LAL,C,33,13
1,51,GSW,C,34,14
1,455,NOP,PG,24,3
1,253,TOT,PF,27,5
1,253,WAS,PF,27,5
1,253,BRK,PF,27,5
1,303,GSW,SF,27,9
1,296,BRK,PF,23,4
1,398,NOP,SF,24,2
1,398,ORL,SF,24,2
1,398,MIN,SF,25,3
1,221,LAL,C,29,11
1,124,TOT,SG,31,9
1,124,OKC,SG,31,9
1,124,CHI,SG,31,9
1,112,PHI,PF,35,13
1,297,TOT,SG,22,4
1,297,NOP,SG,22,4
1,297,BRK,SG,22,4
1,298,ORL,C,29,3
1,238,TOR,C,34,9
1,90,ORL,SG,32,11
1,222,MIN,SG,30,11
1,160,LAL,SG,31,12
1,386,MIL,SF,24,2
1,386,NOP,SF,24,2
1,386,MIL,SF,28,3
1,479,DAL,PF,21,1
1,276,POR,SG,28,9
1,44,DET,PG,34,13
1,186,PHO,C,30,12
1,155,BOS,C,33,13
1,120,HOU,PG,33,4
1,354,MIL,PF,27,8
1,25,UTA,PF,34,14
1,223,WAS,SG,29,11
1,91,HOU,PF,30,10
1,57,LAC,PF,31,12
1,414,NOP,SF,25,7
1,147,NYK,PG,27,8
1,147,WAS,PG,27,8
1,147,MIL,PG,28,9
1,199,DAL,PG,30,9
1,125,MIN,SG,31,9
1,254,CHO,PG,31,5
1,399,TOT,PG,25,3
1,399,HOU,PG,25,3
1,399,MEM,PG,25,3
1,464,MEM,PF,23,2
1,99,MIL,C,34,15
1,329,HOU,PF,25,7
1,415,MIN,SG,29,7
1,416,SAC,SG,29,6
1,416,IND,SG,29,6
1,416,IND,SF,30,7
1,47,BOS,SG,34,16
1,94,ORL,PG,32,10
1,350,ORL,SG,26,3
1,355,PHO,PG,26,6
1,355,PHO,PG,27,7
1,355,PHO,PG,28,8
1,417,CLE,SG,28,7
1,19,LAL,PF,37,19
1,205,ATL,PF,31,9
1,52,CLE,C,35,13
1,445,WAS,PG,25,2
1,445,GSW,PG,26,3
1,445,ORL,PG,27,4
1,438,DET,C,25,5
1,465,HOU,C,21,2
1,14,CLE,C,38,15
1,400,BRK,PF,21,2
1,400,WAS,PF,21,2
1,400,WAS,PF,22,3
1,46,PHO,PG,37,18
1,356,DAL,C,27,7
1,258,NOP,SG,31,10
1,304,ATL,C,28,9
1,259,MIA,C,30,10
1,175,MIN,C,29,8
1,81,PHI,SF,32,12
1,81,SAC,SF,32,12
1,81,SAC,PF,33,13
1,187,DET,PG,31,12
1,114,DAL,SG,34,12
1,110,LAL,PG,34,14
1,357,LAL,PG,26,8
1,26,CLE,SF,36,13
1,418,UTA,C,27,7
1,224,POR,PG,32,11
1,480,WAS,C,23,1
1,111,ATL,PF,33,13
1,127,CLE,SG,35,14
1,142,SAS,PF,31,10
1,330,CLE,SG,25,6
1,419,PHI,SF,29,7
1,121,DEN,PF,29,9
1,138,LAL,PG,34,11
1,401,SAS,SG,24,3
1,58,SAS,PF,33,12
1,439,HOU,SF,29,6
1,23,GSW,C,37,15
1,100,DEN,C,34,15
1,213,TOT,SG,29,5
1,213,MIL,SG,29,5
1,213,NOP,SG,29,5
1,440,MIL,SF,27,6
1,420,ATL,SG,26,6
1,358,WAS,PG,30,8
1,128,CHI,SF,33,14
1,161,TOT,C,31,11
1,161,MIL,C,31,11
1,161,DEN,C,31,11
1,141,HOU,C,33,11
1,456,PHI,PG,24,3
1,441,UTA,SG,28,5
1,59,TOT,PG,32,12
1,59,DAL,PG,32,12
1,59,CLE,PG,32,12
1,162,OKC,C,30,12
1,421,CHI,SF,25,7
1,101,NYK,PG,34,14
1,214,MIA,PF,25,6
1,214,CLE,PF,25,6
1,214,LAL,PF,26,7
